,title,time,picture,article,url,tag
0,«Один наркоз и выглядишь как до родов»: мать рассказала о популярной пластической операции ,2022-06-21T14:14:32+03:00,https://img.gazeta.ru/files3/384/15014384/tender-beautiful-young-female-wearing-stylish-silk-pajamas-sitting-bed-embracing-her-baby-breastfeeding-sleepy-toddler-sucking-mommy-s-breastmilk-bedroom-childcare-love-care_344912-50-pic_32ratio_900x600-900x600-40723.jpg,"<div class=""b_article-text"" itemprop=""articleBody"">
<p>По словам врача, вернуть прежнюю фигуру после родов хотят многие женщины. И дело не только в лишнем весе – беременность и лактация сильно влияют на работу гормональной системы и обмен веществ, потому часто после родов фигура меняется полностью.</p>

<div class=""_s_banner_adcenter"" aria-hidden=""true""></div>
<script type=""text/javascript"">
(function(){
var advPlace = document.querySelector('._s_banner_adcenter:not([data-adv-load])');
var gap = document.createElement('div');
gap.className = 'rg';
g_gazeta.addResizeListener(advPlace,function(el){
if(el.offsetHeight>10){
el.after(gap);
}else{
gap.remove();
}
});
})();
AdfProxy.ssp('._s_banner_adcenter', {
'p1': 'bwrhb',
'p2': 'fomw',
'pct': 'a',
}, {
'begun-auto-pad': ""432328744"",
'begun-block-id': ""442235190""
});
</script>
<p></p><h2>Все и сразу</h2>
<p>«Сейчас при восстановлении фигуры популярен комплексный подход, когда женщина может сразу же максимально эффективно и быстро устранить появившиеся недостатки. Одним из таких комплексов является Mommy Makeover (переводится как «мамино преображение»). В него входит коррекция груди и формы живота, липосакция проблемных зон и интимная пластика. И хотя каждая операция в отдельности уже давно известна, Mommy Makeover можно назвать новым явлением в сфере пластической хирургии, поскольку все это делается в один этап: одна предоперационная подготовка, один наркоз, один восстановительный период», – рассказала хирург.</p>
<p></p><h2>Подготовительная работа</h2>
<p>Старцева напомнила: для того, чтобы коррекция прошла максимально эффективно, важно соблюдать все правила подготовки. Mommy Makeover проводится строго через 4-6 месяцев после завершения лактации или после родов, если женщина не кормила грудью.</p>

<div aria-hidden=""true"" class=""_s_banner_inread""></div>
<script type=""text/javascript"">
(function(){
var advPlace = document.querySelector('._s_banner_inread:not([data-adv-load])');
var gap = document.createElement('div');
gap.className = 'rg';
g_gazeta.addResizeListener(advPlace,function(el){
if(el.offsetHeight>10){
el.after(gap);
}else{
gap.remove();
}
});
})();
AdfProxy.ssp('._s_banner_inread', {
'p1': 'bryhb',
'p2': 'fcvb',
'pct': 'a',
},{
'begun-auto-pad': ""432328744"",
'begun-block-id': ""432328918""
});
</script>
<p><span class=""idea"">Специалист посоветовала не торопиться с операцией, поскольку после родов организму необходимо восстановиться. </span></p>










 











                                                          


                                
                                                                                                                    
                 
                                       
       





<aside class=""b_article-incut m_article"">
<div class=""b_ear w_col1 "">
<div class=""b_ear-image"">
<a href=""/family/2022/06/16/14996552.shtml"">
<img src=""https://img.gazeta.ru/files3/158/14997158/beremenna-pic_32ratio_600x400-600x400-69018.jpg"" alt="""">
</a>
</div>
<div class=""b_ear-textblock"">
<div class=""b_ear-title"">
<a href=""/family/2022/06/16/14996552.shtml"">
«Вместе сделали ребенка, вместе родили»: что думают матери о партнерских родах
</a>
</div>
<div class=""b_ear-intro"">
<a href=""/family/2022/06/16/14996552.shtml"">Одни мамы считают партнерские роды жизненной необходимостью и большим счастьем для обоих супругов, другие...</a>
</div>
<div class=""b_ear-time"">
20 июня 11:09
</div>
</div>
</div>
</aside>


 






                                          
 
































































































<p></p>
<p>«В подготовительный период необходимо придерживаться здорового образа жизни, больше двигаться. Конечно, режим молодой мамы имеет свои особенности, но прогулки и физические упражнения в него можно и нужно включить. Хорошо подходят кардионагрузки – несколько упражнений на свежем воздухе помогут не только подтянуть фигуру, но и снизить риск возникновения послеродовой депрессии.</p>
<p>Также нужно обратить внимание на диету. Рекомендации здесь стандартные: поменьше простых углеводов (прежде всего, мучного), достаточное количество белка, витаминов, микроэлементов и аминокислот, участвующих в синтезе коллагена», – посоветовала Старцева.</p>
<p>При наличии диастаза прямых мышц живота и/или грыжи хирург порекомендовала носить бандаж (время его носки определяется вместе с врачом) и ежедневно выполнять в нем физические упражнения – таким образом организм адаптируется к предстоящему хирургическому вмешательству.</p>
<p>Дальнейшие этапы подготовки схожи с любым предоперационным периодом и включают сдачу анализов, УЗИ молочных желез, (при выявлении изменений в молочной железе потребуется дополнительная консультация врача-маммолога), УЗИ органов брюшной полости, консультацию гинеколога.</p>










 






                                                          













<div class=""b_article-incut m_media"">
<div class=""i_gallery s_picture_incut "" data-no_manipulate_in_fullscreen=""1"">
<div class=""mainarea"">
<div class=""zoombtn""></div>
<div class=""closebtn"">close</div>
<div class=""text_toggle_btn""><span></span></div>
<div class=""scaleplace"">100%</div>
<div class=""mainarea-wrapper"">
<figure class=""item active"">
<img src="""" data-hq=""https://img.gazeta.ru/files3/366/15014366/close-up-hands-holding-breast-implant_23-2149103546-pic4_zoom-1500x1500-72167.jpg"" data-caption="""" data-author=""Freepik.com"" class=""item-image"">
<img src=""https://img.gazeta.ru/files3/366/15014366/close-up-hands-holding-breast-implant_23-2149103546-pic_32ratio_900x600-900x600-7477.jpg"" class=""item-image-front item-image-front-picture"" loading=""eager"">
</figure>
</div>
</div>

<div class=""infoblock"">
<div class=""signplace"">


<i>Freepik.com</i>

</div>
</div>

</div>
</div>
<script>
//iGallery({domEl: _igallery_15014366});
</script>





 






                                          
 

































































































<p></p>
<p>«Восстановление после операции занимает около трех месяцев, но плюс в том, что реабилитация после нескольких операций не превышает сроки реабилитации каждой из операций в отдельности. Это один общий наркоз и один восстановительный период!</p>

<style>
._s_banner_native3 {
position: relative;
z-index: 10;
float: right;
width: auto;
margin: 0 0 5px 20px;
max-width: 300px;
font: normal 13px/16px 'Roboto';
}
._s_banner_native3 .ad_native_img__img {
display: block;
width: 100%;
}
._s_banner_native3 .ad_native_sponsored {
position: absolute;
top: 0;
left: 0;
padding: 2px 5px;
background: rgba(255,255,255,.7);
color: #333;
}
._s_banner_native3 .ad_native_img {
margin-bottom: 7px;
}
._s_banner_native3 .ad_native_sponsored_clone {
display: none;
}
._s_banner_native3 .ad_native_title {
font: bold 16px/1.2 ""Lora"", serif;
color: #595959;
margin-bottom: 5px;
}
._s_banner_native3 .ad_native_desc {
font: normal 13px/1.25 ""Roboto"", sans-serif;
color: #505050;
}
</style>
<div aria-hidden=""true"" class=""_s_banner_native3""></div>
<script type=""text/javascript"">
AdfProxy.sspScroll('._s_banner_native3', {
'p1': 'bwjcl',
'p2': 'fjgk',
'pct': 'a',
},{
'begun-auto-pad': ""432328744"",
'begun-block-id': ""439285592""
});
</script>
<p><span class=""idea"">Как и после любого хирургического вмешательства, здесь возможны осложнения: как недовольство результатом (например, не нравится новая форма груди), так и осложнения – расхождение швов, появление гематом. </span></p>
<p>Но это не типовые осложнения, а некие ЧП, которые случаются редко», – добавила врач.</p>
<p></p><h2>«Возможно, у кого-то получается принимать себя такой, как есть»</h2>
<p>Пациентка Ирина Владимирова из Москвы (имя по просьбе героини изменено), в разговоре с «Газетой.Ru» поделилась, что родила первого ребенка после сорока.</p>
<p>«Считается, что где-то через год после родов организм женщины восстанавливается, но я убедилась на своем опыте, что он восстанавливается далеко не полностью. Как правило, и грудь, и живот рожавшей женщины выглядят совсем иначе, чем у нерожавшей. В моем случае ситуацию усугублял возраст – в 20 и 40 восстановление идет разными темпами, и вес – за беременность я много набрала», – вспоминала Ирина.</p>
<p>Она добавила, что не воспринимала операцию как легкую. «Конечно, я понимала, что Mommy Makeover это не курс массажа, что будет страшно и какое-то время больно, что могут быть осложнения – все-таки речь идет о полноценной операции, точнее, о нескольких сразу.</p>
<p><span class=""idea"">В моем случае это была абдоминопластика (пластика живота) и подтяжка груди, но это не единственный вариант. </span></p>
<p>Кто-то делает еще и липосакцию, кто-то – интимную пластику», – рассказала она.</p>
<p>По словам Ирины, она не жалеет о своем решении: «Сейчас, оглядываясь назад, могу сказать, что результат того стоит. Врачи говорят, что «мамино преображение» – одна из самых «благодарных» операций. Во-первых, и сама женщина, и окружающие, замечают результат. <br>
И во-вторых, этот результат, как правило, нравится. Я довольна тем, как моя фигура выглядит и в узком платье, и в купальнике. Возможно, у кого-то получается принимать себя такой, как есть, и не расстраиваться из-за торчащего живота или не очень упругой груди. Но если нет, какой смысл переживать и носить балахоны, когда можно выглядеть так, как нравится», – закончила героиня.</p>
<p></p><h2>«И оказывается, что дело не в груди, а в мужчине»</h2>
<p>По мнению психолога Натальи Петровской, когда речь идет о внешних улучшениях, многое зависит от честности человека с собой. «Скажем так, если проблема вовсе не в размерах и форме губ (носа, живота, ягодиц — чего угодно) — то и операция ничего внутри (в голове) не поменяет. Такой человек следом найдет другую причину быть недовольным собой и несчастливым внутри своего тела. Но случается и так, что объективно нужно убрать то, что вызывает смущение, не нравится и раздражает. Скажем, некрасивый шов, шрам после аварии, в интимной сфере иногда требуется коррекция. Тогда да, проще сделать пластику или (в последнее время очень распространено) — красивую татуировку на том месте, где след от операции (того же кесарева сечения, например)», – рассказала психолог.</p>










 











                                                          


                                
                                                                                                                    
                 
                                              





<aside class=""b_article-incut m_article"">
<div class=""b_ear w_col1 "">
<div class=""b_ear-image"">
<a href=""/family/2022/06/14/14988044.shtml"">
<img src=""https://img.gazeta.ru/files3/368/14988368/couple-quarreling-due-jealousy-relationship-home-young-couple-with-relationship-problem-appear-depressed-frustrated_657921-15-pic_32ratio_600x400-600x400-4327.jpg"" alt="""">
</a>
</div>
<div class=""b_ear-textblock"">
<div class=""b_ear-title"">
<a href=""/family/2022/06/14/14988044.shtml"">
«Если человек годами обходится без секса, это не совсем нормально»: сексолог о близости в сложившихся парах
</a>
</div>
<div class=""b_ear-intro"">
<a href=""/family/2022/06/14/14988044.shtml"">Согласно Всероссийскому центру изучения общественного мнения (ВЦИОМ), россияне считают секс способом получить...</a>
</div>
<div class=""b_ear-time"">
20 июня 11:09
</div>
</div>
</div>
</aside>


 






                                          
 
































































































<p></p>
<p>Она выразила мнение, что нормальный хирург никогда не выполняет всех желаний человека, который пришел за пластикой. «Этично — подчеркивать индивидуальность внешности, улучшать деликатно и в рамках здравого смысла. Скажем, худенькой миниатюрной девушке совершенно не нужен бюст пятого размера. А вот упругая «двоечка» будет смотреться уместно.</p>
<p><span class=""idea"">Губы можно сделать слегка более пухлыми, а вот накачивать «пельмени» — неправильно и пошло», – объяснила специалист. </span></p>
<p>Она добавила, что решаться на перемены — это хорошо, так же, как пользоваться современными технологиями для улучшения своей внешности.</p>










 






                                                          













<div class=""b_article-incut m_media"">
<div class=""i_gallery s_picture_incut "" data-no_manipulate_in_fullscreen=""1"">
<div class=""mainarea"">
<div class=""zoombtn""></div>
<div class=""closebtn"">close</div>
<div class=""text_toggle_btn""><span></span></div>
<div class=""scaleplace"">100%</div>
<div class=""mainarea-wrapper"">
<figure class=""item active"">
<img src="""" data-hq=""https://img.gazeta.ru/files3/360/15014360/doctor-marking-female-patients-body-breast-surgery_107420-74119-pic4_zoom-1500x1500-54087.jpg"" data-caption="""" data-author=""Freepik.com"" class=""item-image"">
<img src=""https://img.gazeta.ru/files3/360/15014360/doctor-marking-female-patients-body-breast-surgery_107420-74119-pic_32ratio_900x600-900x600-28791.jpg"" class=""item-image-front item-image-front-picture"" loading=""eager"">
</figure>
</div>
</div>

<div class=""infoblock"">
<div class=""signplace"">


<i>Freepik.com</i>

</div>
</div>

</div>
</div>
<script>
//iGallery({domEl: _igallery_15014360});
</script>





 






                                          
 

































































































<p></p>
<p>«Мы же спокойно относимся к декоративной стоматологии, парикмахерским процедурам, макияжу и так далее. Но если не получается понять, а зачем, собственно, это улучшение, то стоит сперва посетить психолога и разобраться с принятием себя. Потому что вполне возможен вариант такой:</p>
<p>– Я хочу новую красивую грудь.<br>
– Зачем?<br>
– Чтобы меня любил мой мужчина.</p>
<p>И оказывается, что дело не в груди, а в мужчине. И его чувствах. Или — еще чаще — в женщине и ее отношении к своему телу, в принятии. Порой бывает, что мужчина вполне счастлив с грудью своей избранницы (пускай и совершенно неидеальной), а вот сама дама очень страдает от того, что ей кажется некрасивым.</p>
<p>А если эта самая грудь объективно может быть улучшена (подтянута и подкачана), но и без этой процедуры в паре царит гармония и любовь — то вот тогда вполне можно на пластику», – заключила психолог.</p>
</div>",https://www.gazeta.ru/family/2022/06/21/15018116.shtml>,family
4,ФСБ задержала жителя Владимирской области по подозрению в подготовке теракта на митинге ,2022-06-21T15:17:28+03:00,https://img.gazeta.ru/files3/573/14419573/upload-RIAN_6741303.HR-pic_32ratio_900x600-900x600-29564.jpg,"<div class=""b_article-text"" itemprop=""articleBody""><p>Сотрудники управления Федеральной службы безопасности (<a href=""/tags/organization/fsb.shtml"" class=""tag"">ФСБ</a>) РФ по Владимирской области задержали местного жителя по подозрению в подготовке теракта на несанкционированном митинге. Об этом сообщает <a href=""http://ria.ru"" target=""_blank""><b>РИА «Новости»</b></a> со ссылкой на пресс-службу ведомства.</p><p>По данным ФСБ, злоумышленник сам сделал «средства инициирования взрывчатых веществ» и несколько единиц огнестрельного оружия.</p><p>Уточняется, что подозреваемого задержали в мае, он уже дал признательные показания.</p><p>Ранее сотрудники ФСБ <a href=""https://www.gazeta.ru/social/news/2022/06/20/17966774.shtml""><b>задержали</b></a> в Чите сторонника запрещенной в России террористической организации «Тахрир Аш-Шам», который намеревался совершить в Забайкальском крае теракт против правоохранителей.</p><p>17 июня военный суд <a href=""https://www.gazeta.ru/social/news/2022/06/17/17951126.shtml""><b>приговорил</b></a> к пожизненному заключению мужчину, пытавшегося организовать теракты рядом с Кремлем и зданиями российских силовых структур в Москве. Также он обвиняется в 23 преступлениях террористической направленности с 2014 по 2020 год.</p>
</div>",https://www.gazeta.ru/social/news/2022/06/21/17976410.shtml>,social
5,"Омичка подделала свидетельство о рождении, чтобы получить маткапитал за несуществующего ребенка ",2022-06-21T15:18:32+03:00,https://img.gazeta.ru/files3/988/13222988/RIAN_6249444.HR-pic905-895x505-37087.jpg,"<div class=""b_article-text"" itemprop=""articleBody""><p>В Омске 45-летняя женщина принесла в Пенсионный фонд поддельное свидетельство о рождении второго ребенка в семье. Об этом <a href=""https://epp.genproc.gov.ru/web/proc_55/mass-media/news?item=74723689"" target=""_blank""><b>сообщается</b></a> на официальном сайте регионального отделения прокуратуры.</p><p>Россиянке выдали материнский капитал. Однако при проверке сотрудники прокуратуры выяснили, что у женщины всего один ребенок, а свидетельство о рождении второго младенца она подделала.</p><p>Россиянка собиралась оплатить с помощью маткапитала недавно купленное жилье.</p><p>«В результате этого федеральному бюджету причинен ущерб на сумму 639 000 рублей», — говорится в сообщении ведомства.</p><p>На женщину завели уголовное дело.</p><p>Ранее <a href=""https://www.gazeta.ru/social/news/2021/08/31/n_16461086.shtml""><b>сообщалось</b></a> о том, что россиянка подделала справку об инвалидности и получила 700 000 руб.</p>
</div>",https://www.gazeta.ru/family/news/2022/06/21/17976068.shtml>,family
6,"«Чьи-то трусы появились»: Зверев вспомнил, как Волочкова села на шпагат на его плече ",2022-06-21T15:19:04+03:00,https://img.gazeta.ru/files3/610/14896610/upload-v3-pic_32ratio_900x600-900x600-85928.jpg,"<div class=""b_article-text"" itemprop=""articleBody""><p>Стилист Сергей <a href=""/tags/person/sergei_zverev.shtml"" class=""tag"">Зверев</a> рассказал, как балерина Анастасия <a href=""/tags/person/anastasiya_volochkova.shtml"" class=""tag"">Волочкова</a> однажды внезапно села на шпагат в ресторане, положив ногу к нему на плечо, передает <a href=""https://news.ru/show-business/zverev-rasskazal-kak-volochkova-osedlala-ego-v-restorane/"" target=""_blank""><b>NEWS.ru</b></a>.</p><p>«Помню, я в дорогущем ресторане ужинал. И вдруг у меня чья-то нога на плече и туфель, босоножки со стразами. Я не понял юмора, смотрю — чьи-то трусы появились. А это Настя на шпагат встала и мне ногу на плечо положила. Говорит: «Сереж, привет». Веселая она», — вспомнил Зверев.</p><p>Стилист добавил, что в тот момент танцовщица находилась у него за спиной и таким образом буквально «оседлала» его. По мнению Зверева, Волочкова — это «персонаж», который украсит любое мероприятие так, что его можно будет запомнить на всю жизнь.</p><p><a href=""https://www.gazeta.ru/culture/news/2022/05/30/n_17833238.shtml""><b>Ранее</b></a> Волочкова дала совет россиянам, как перестать «выливать желчь» на звезд.</p>
</div>",https://www.gazeta.ru/culture/news/2022/06/21/n_17976284.shtml>,culture
7,Житель Камчатки пытался подкупить полицейских золотой цепочкой и крестиком ,2022-06-21T15:19:27+03:00,https://img.gazeta.ru/files3/902/15018902/AAD54747-F73D-487F-85A9-C3E9F3C7-pic_32ratio_900x600-900x600-63085.jpg,"<div class=""b_article-text"" itemprop=""articleBody""><p>В Петропавловске-Камчатском возбуждено уголовное дело в отношении 36-летнего местного жителя, подозреваемого в даче взятки. Об этом сообщает <a href=""https://kamchatka.sledcom.ru/news/item/1699046/"" target=""_blank""><b>пресс-служба </b></a>регионального управления <a href=""/tags/organization/sledstvennyi_komitet.shtml"" class=""tag"">Следственного комитета</a>.</p><p>Инцидент произошел 7 июня 2022 года на улице Чубарова. Мужчина попытался дать взятку сотрудникам правоохранительных органов, чтобы ему вернули изъятые ранее 60 кг вареного мяса краба.</p><p>В качестве взятки он передал золотые ювелирные изделия, стоимость которых оценили в размере свыше 25 тыс. рублей.</p><p>Уголовное дело возбуждено и расследуется при оперативном сопровождении сотрудников полиции.</p><p>Ранее <a href=""https://www.gazeta.ru/social/news/2022/06/15/17934098.shtml""><b>сообщалось</b></a>, что российского преподавателя осудили на четыре года за взятки от студентов.</p>
</div>",https://www.gazeta.ru/social/news/2022/06/21/17976476.shtml>,social
8,"Семьи пропавших с платформ «Черноморнефтегаз» после удара ВСУ получат 6,5 млн рублей ",2022-06-21T15:20:57+03:00,https://img.gazeta.ru/files3/49/7984049/aksenov-pic_32ratio_900x600-900x600-41408.jpg,"<div class=""b_article-text"" itemprop=""articleBody""><p>Компенсация в размере 6,5 млн рублей получат семьи пропавших без вести людей после удара украинской армии по платформе «Черноморнефтегаза». Об этом сообщил глава Крыма Сергей <a href=""/tags/person/sergei_aksenov.shtml"" class=""tag"">Аксенов</a> в своем <a href=""https://t.me/Aksenov82/1095"" target=""_blank""><b>Telegram-канале</b></a>.</p><p>Глава региона отметил, что внес изменения в положение о компенсационных выплатах работникам предприятия ГУП РК «Черноморнефтегаз», чтобы предоставить такие компенсации.</p><p>Кроме того, те пять граждан, которых удалось спасти с буровой платформы № 1, получат по 3 млн рублей.</p><p>Аксенов также <a href=""https://www.gazeta.ru/social/news/2022/06/21/17976308.shtml""><b>заявил</b></a>, что спасатели продолжают поиски числящихся пропавшими без вести.</p><p>Утром 20 июня Вооруженные силы Украины нанесли три удара по трем буровым платформам «Черноморнефтегаза», расположенным на Одесском месторождении в Черном море. На тот момент на вышках находились 109 человек. В результате атаки пострадали три человека — они получили ожоги и осколочные ранения, семь пропали без вести, их продолжают искать. Весь персонал эвакуирован с платформ.</p>
</div>",https://www.gazeta.ru/social/news/2022/06/21/17976428.shtml>,social
9,"Экономист Шульгин объяснил, зачем нужны отрицательные ставки на валютные вклады ",2022-06-21T15:22:08+03:00,https://img.gazeta.ru/files3/173/14678173/RIAN_3052936.HR-pic_32ratio_900x600-900x600-87735.jpg,"<div class=""b_article-text"" itemprop=""articleBody""><p>Отрицательные ставки на валютные депозиты выровняют конкуренцию между банками, которые попали под санкции, и кредитными организациями, которые не находятся под ограничениями. Об этом «Газете.Ru» сообщил начальник отдела глобальных исследований «Открытие Инвестиции» Михаил Шульгин.</p><p>Таким образом эксперт прокомментировал законопроект <a href=""/tags/organization/minekonomrazvitiya.shtml"" class=""tag"">Минэкономразвития</a>, позволяющий вводить комиссию за обслуживание валютного вклада юрлиц. Экономист добавил, что поправки позволят банкам проявлять большую гибкость при формировании комиссий по корпоративным вкладам.</p><p>«Ситуация выровняет конкурентное положение между банками, которые подпали под санкции, и банками, которые под санкциями не находятся», — сказал Шульгин.</p><p>Он объяснил, что у попавших под санкции российских банков нет нормальной возможности управлять своей валютной позицией. А банки, не находящиеся под ограничениями, столкнулись с оттоком контрагентов.</p><p>«Поэтому желание кредитных организаций отталкивать валютные пассивы выглядит логичным. Поправки Минэка в закон «О банках и банковской деятельности» дают банкам возможность устанавливать квазиотрицательные ставки по корпоративным вкладам. То есть в чистом виде отрицательную ставку по валютному депозиту для юрлица банк все равно установить не сможет. Но сможет ввести комиссию, которая будет выше дохода по вкладу», — отметил Шульгин.</p><p>21 июня РБК сообщил, что российские банки смогут фактически применять отрицательные ставки по валютным депозитам для клиентов — юридических лиц по особым правилам. Подлинность документа подтвердил «Газете.Ru» источник в <a href=""/tags/organization/gosduma.shtml"" class=""tag"">Госдуме</a>. Поправки разработаны для «снижения концентрации средств в валюте» в кредитных организациях, их поддержали в Минфине и <a href=""/tags/organization/bank_rossii.shtml"" class=""tag"">Банке России</a>. Законопроект позволяет банкам взимать с корпоративных клиентов комиссии по депозитам, открытым в любой иностранной валюте. Размер вознаграждения может превышать величину процентов, начисленных по вкладу. Банкам также разрешат распространить подобные комиссии на уже заключенные договоры.</p>
</div>",https://www.gazeta.ru/business/news/2022/06/21/17976500.shtml>,business
10,Большинство африканских лидеров проигнорировали обращение Зеленского ,2022-06-21T15:23:31+03:00,https://img.gazeta.ru/files3/178/14971178/2022-06-06T061430Z_254807323_RC2WLU92KF9O_RTRMADP_3_UKRAINE-CRISIS-ZELENSKIY-FRONTLINE-pic_32ratio_900x600-900x600-17823.jpg,"<div class=""b_article-text"" itemprop=""articleBody""><p>Обращение президента Украины Владимира <a href=""/tags/person/vladimir_zelenskii.shtml"" class=""tag"">Зеленского</a> к лидерам африканских государств проигнорировало большинство глав государств континента, сообщает Telegram-канал «Русской службы Би-би-си Ньюз».</p><p>Отмечается, что Зеленский обратился к Афросоюзу 20 июня. Из 55 глав государств Африки, которые были приглашены на виртуальную встречу с президентом Украины, присутствовали только четверо. Остальные же прислали туда своих представителей.</p><p>Зеленский в своем обращении уверял, что «африканские страны стали заложниками развязанной Россией войны» и чувствуют на себе блокаду экспорта украинского зерна и подсолнечного масла. При этом украинский президент заверил, что Киев ищет способ возобновить поставки.</p><p>Ранее глава МИД Украины <a href=""/tags/person/dmitrii_kuleba.shtml"" class=""tag"">Дмитрий Кулеба</a> <a href=""https://www.gazeta.ru/politics/news/2022/06/18/17955578.shtml""><b>написал</b></a> в своей статье для журнала Foreign Affairs, что ряд официальных лиц в странах Африки, Азии и арабских государствах предлагали Киеву прекратить сопротивление.</p>
</div>",https://www.gazeta.ru/politics/news/2022/06/21/17976332.shtml>,politics
11,«Бэтмен» стал самой успешной новинкой в российском прокате ,2022-06-21T15:26:39+03:00,https://img.gazeta.ru/files3/159/14590159/orig-_16_-pic_32ratio_900x600-900x600-3882.jpg,"<div class=""b_article-text"" itemprop=""articleBody""><p>Фильм «Бэтмен» <a href=""/tags/person/mett_rivz.shtml"" class=""tag"">Мэтта Ривза</a> стал самой кассовой новинкой в российском прокате по итогам прошлого уик-энда. Об этом свидетельствуют данные <a href=""https://www.kinometro.ru/prebox/russian_bo_official_1619062022_0281"" target=""_blank""><b>ЕАИС</b></a>.</p><p>C 16 по 19 июня картина с Робертом Патинсоном в роли супергероя, выход которой был отложен на два с половиной месяца, собрала в российском прокате 10,4 млн руб.</p><p>Таким образом, «Бэтмен» занял шестую строчку общего рейтинга самых кассовых фильмов в России за этот период. На первом месте <a href=""https://www.gazeta.ru/culture/news/2022/06/20/n_17966366.shtml""><b>оказалась</b></a> российская драма «Одна» о выжившей в авиакатастрофе с 43,2 млн руб.</p><p>Премьера «Бэтмена» в России состоялась 16 июня несмотря на запрет Warner Bros. на показ картины. Показ ленты проходит на основании ранее заключенных лицензионных договоров и <a href=""https://www.gazeta.ru/culture/news/2022/06/20/n_17967248.shtml""><b>указа</b></a> президента России <a href=""/tags/person/vladimir_putin.shtml"" class=""tag"">Владимира Путина</a>, разрешившего расчет с иностранными правообладателями в рублях.</p>
</div>",https://www.gazeta.ru/culture/news/2022/06/21/n_17976452.shtml>,culture
12,Минфин предложил временно повысить НДПИ для «Газпрома» на фоне подорожания газа ,2022-06-21T15:28:46+03:00,https://img.gazeta.ru/files3/901/14712901/RIAN_6751328.HR-pic_32ratio_900x600-900x600-68306.jpg,"<div class=""b_article-text"" itemprop=""articleBody""><p>Министерство финансов России подготовило поправки в Налоговый кодекс, согласно которым на добываемый в стране газ временно введут надбавку к налогу на добычу полезных ископаемых (НДПИ), <a href=""https://www.interfax.ru/business/847236"" target=""_blank""><b>пишет </b></a>«Интерфакс».</p><p>В агентстве указывают, что размер изъятий может составить 416 млрд рублей. Поправки предлагают внести в статью 343 Налогового кодекса, которая регулирует порядок исчисления НДПИ.</p><p>Меру по дополнительному привлечению денег в федеральный бюджет, благодаря временному увеличению НДПИ при добычи природного газа, хотят ввести из-за цен на европейских рынках.</p><p>В 2015 году <a href=""/tags/organization/gosduma.shtml"" class=""tag"">Госдума</a> уже принимала закон, который временно устанавливал повышающие коэффициенты на НДПИ для увеличения налоговых поступлений от нефтяной и газовой отрасли. Ожидалось, что это бы принесло бюджету дополнительный доход в 340 млрд рублей в год.</p><p>Ранее 21 июня РБК <a href=""https://www.gazeta.ru/business/news/2022/06/21/17972756.shtml?updated""><b>написало</b></a>, что <a href=""/tags/organization/minfin_rossii.shtml"" class=""tag"">Минфин</a> предложил три новые льготы по взиманию налога на доходы физических лиц (НДФЛ). В частности, хотят расширить возможности социального налогового вычета на оплату медуслуг, которые оказаны недееспособным детям без ограничений по возрасту.</p>
</div>",https://www.gazeta.ru/business/news/2022/06/21/17976536.shtml>,business
